year,pop,inc100k,prev100k,mort100k,mort100klo,mort100khi
2001,134729503,225,503,57,22,110
2002,137006279,225,495,56,21,108
2003,139185986,225,489,55,21,104
2004,141235035,225,479,53,21,101
2005,143135180,225,469,52,20,98
2006,144868702,225,460,50,20,94
2007,146457067,225,454,49,19,91
2008,147969967,225,447,48,19,89
2009,149503100,225,442,47,19,87
2010,151125475,225,437,46,19,85
2011,152862431,225,435,46,19,84
2012,154695368,225,434,45,19,84
1990,259336,2.2,2.6,0,0,0
1991,260175,2.2,2.8,0.67,0.66,0.69
1992,260963,2.6,4.1,1.3,1.3,1.3
1993,261714,2.2,3.2,0.64,0.63,0.65
1994,262441,1.8,2.3,2,1.9,2
1995,263165,1.3,1.5,0.63,0.62,0.64
1996,263884,1.3,1.4,0.65,0.64,0.66
1997,264606,2.2,3.4,0.66,0.65,0.67
1998,265370,3,5.1,0.68,0.67,0.69
1999,266220,0.86,1.6,0.7,0.69,0.71
2000,267190,1.3,2.1,0.71,0.7,0.73
2001,268296,2.6,2.7,0.5,0.42,0.59
2002,269524,2.1,3.1,0.38,0.38,0.39
2003,270844,5.1,6.4,0.33,0.32,0.34
2004,272205,8,11,0.75,0.74,0.76
2005,273568,5.1,5.7,0.62,0.61,0.63
2006,274923,2.1,3.6,0.64,0.64,0.65
2007,276277,6.7,9,0.96,0.95,0.97
2008,277634,1.2,2.7,0.32,0.31,0.32
2009,279006,0.82,2.1,0.69,0.67,0.7
2010,280396,2.5,2.8,0.69,0.67,0.7
2011,281804,0,0.79,0.69,0.67,0.7
2012,283221,1.6,1.8,0.69,0.67,0.7
1990,10259860,34,51,4.9,4.6,5.2
1991,10270813,42,61,5,4.6,5.4
1992,10265144,49,71,4.8,4.5,5.2
1993,10246346,56,81,5.7,5.3,6.2
1994,10219676,62,91,5.9,5.4,6.4
1995,10189075,68,106,7.5,6.9,8.1
1996,10156258,74,116,6.7,6.3,7.2
1997,10120556,80,126,7.6,7,8.3
1998,10080772,84,132,7.9,7.4,8.4
1999,10034775,85,132,9.9,9.3,11
2000,9981460,84,130,8.1,7.6,8.5
2001,9920173,82,125,9.1,8.7,9.5
2002,9852866,77,117,11,10,11
2003,9784111,74,112,12,11,12
2004,9719991,73,111,11,11,12
2005,9664714,72,109,11,10,12
2006,9620359,71,108,11,9.9,11
2007,9585368,71,107,10,9.6,11
2008,9555801,70,106,9.6,8.9,10
2009,9525785,70,107,8.6,8,9.1
2010,9491070,70,107,8,7.3,8.6
2011,9450391,70,107,7,6.3,7.7
2012,9405097,70,108,6,5.4,6.7
1990,9978241,18,26,1,0.97,1
1991,10011073,17,23,0.81,0.78,0.84
1992,10049941,15,19,1.8,1.7,1.8
1993,10091158,17,24,1.1,1.1,1.1
1994,10129627,17,25,1.1,1.1,1.2
1995,10161914,16,21,1.3,1.3,1.3
1996,10186767,15,21,2.2,2.2,2.2
1997,10205970,14,19,0.82,0.8,0.83
1998,10222896,14,17,0.83,0.81,0.84
1999,10242449,13,15,0.92,0.9,0.94
2000,10268380,14,20,0.79,0.78,0.81
2001,10300775,15,21,0.69,0.67,0.7
2002,10338969,13,19,0.59,0.58,0.6
2003,10384953,12,15,0.51,0.5,0.52
